"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","nh34","no23","po4"
"Central Long Lake",1994,217,1994-08-05,0,891.035,21.078,193.131,130.911,0.44
"East Long Lake",1994,220,1994-08-08,0,977.386,20.45,121.247,215.351,2.324
"West Long Lake",1994,221,1994-08-09,0,1342.33,21.268,286.977,165.172,2.115
"Peter Lake",1994,222,1994-08-10,0,833.706,36.581,86.092,34.278,0.828
"Paul Lake",1994,223,1994-08-11,0,498.227,7.43,5.12,2.739,1.299
"Tuesday Lake",1994,224,1994-08-12,0,474.994,14.492,3.666,3.492,0.826
"East Long Lake",1994,227,1994-08-15,0,1080.365,33.942,149.908,230.087,2.783
"Peter Lake",1994,229,1994-08-17,0,807.511,16.842,94.697,49.864,2.063
"Paul Lake",1994,230,1994-08-18,0,408.059,10.515,9.403,1.428,1.523
"Central Long Lake",1994,231,1994-08-19,0,802.309,20.449,130.076,156.78,2.349
"East Long Lake",1994,234,1994-08-22,0,1056.517,24.365,152.448,237.179,2.533
"Peter Lake",1994,236,1994-08-24,0,653.576,22.552,77.811,59.668,2.403
"Paul Lake",1994,237,1994-08-25,0,424.318,8.694,9.775,2.348,0.729
"Tuesday Lake",1994,238,1994-08-26,0,434.383,18.663,8.184,2.736,0.478
"East Long Lake",1994,241,1994-08-29,0,907.374,20.554,222.544,257.112,4.213
"Peter Lake",1994,243,1994-08-31,0,747.822,14.551,111.259,91.963,1.779
"Paul Lake",1994,244,1994-09-01,0,437.397,10.192,13.376,5.957,0.836
"Central Long Lake",1994,245,1994-09-02,0,953.063,15.166,249.978,169.274,1.725
"Tuesday Lake",1994,245,1994-09-02,0,474.832,9.99,4.361,2.017,0.593
"East Long Lake",1994,248,1994-09-05,0,1133.331,22.52,252.781,256.229,1.182
"West Long Lake",1994,248,1994-09-05,0,1500,22.294,440.277,212.078,2.05
"Paul Lake",1994,249,1994-09-06,0,557.812,16.281,10.272,4.39,0.467
"Peter Lake",1994,249,1994-09-06,0,680.558,16.281,116.107,99.193,1.133
"East Long Lake",1995,142,1995-05-22,0,813.526,45.57,10.928,5.778,5.794
"West Long Lake",1995,143,1995-05-23,0,862.127,18.976,271.463,104.084,3.618
"Peter Lake",1995,144,1995-05-24,0,436.333,18.922,10.342,72.863,4.086
"Paul Lake",1995,145,1995-05-25,0,291.78,7.287,6.253,2.059,1.372
"Central Long Lake",1995,146,1995-05-26,0,499.399,11.795,5.686,2.31,2.219
"Tuesday Lake",1995,146,1995-05-26,0,449.965,14.176,6.575,2.044,2.702
"East Long Lake",1995,149,1995-05-29,0,626.509,30.214,7.819,6.172,2.347
"West Long Lake",1995,150,1995-05-30,0,757.715,14.673,239.557,115.754,1.45
"Peter Lake",1995,151,1995-05-31,0,444.782,15.279,9.86,63.721,0.916
"Paul Lake",1995,152,1995-06-01,0,342.14,14.365,16.443,2.763,0.148
"Central Long Lake",1995,153,1995-06-02,0,581.928,21.683,11.35,4.159,2.66
"West Long Lake",1995,157,1995-06-06,0,718.56,15.944,129.859,91.764,2.646
"Peter Lake",1995,158,1995-06-07,0,388.163,10.974,23.319,49.61,3.685
"Paul Lake",1995,159,1995-06-08,0,307.812,1.222,8.879,4.075,3.657
"Central Long Lake",1995,160,1995-06-09,0,862.231,34.955,23.36,17.74,1.572
"Tuesday Lake",1995,160,1995-06-09,0,394.677,8.502,2.593,3.244,3.33
"East Long Lake",1995,163,1995-06-12,0,830.202,35.475,11.732,9.277,3.132
"West Long Lake",1995,164,1995-06-13,0,763.148,13.194,146.005,109.769,1.736
"Peter Lake",1995,165,1995-06-14,0,478.125,13.505,19.993,58.04,1.317
"Paul Lake",1995,166,1995-06-15,0,338.845,6.448,9.692,1.843,1.22
"Central Long Lake",1995,167,1995-06-16,0,687.194,18.282,81.501,19.823,0.467
"East Long Lake",1995,170,1995-06-19,0,807.05,27.335,14.121,9.38,4.247
"West Long Lake",1995,171,1995-06-20,0,717.85,18.92,95.513,107.286,1.077
"Peter Lake",1995,172,1995-06-21,0,486.462,12.958,18.306,58.865,1.226
"Paul Lake",1995,173,1995-06-22,0,324.447,5.567,12.21,0.539,1.858
"Central Long Lake",1995,174,1995-06-23,0,751.147,23.409,33.56,44.999,0
"Tuesday Lake",1995,174,1995-06-23,0,489.366,12.644,9.706,2.819,0.557
"East Long Lake",1995,177,1995-06-26,0,1111.126,49.522,78.413,82.52,1.472
"West Long Lake",1995,178,1995-06-27,0,713.944,17.658,91.527,121.611,0
"Peter Lake",1995,179,1995-06-28,0,535.325,14.59,34.268,66.545,0
"Paul Lake",1995,180,1995-06-29,0,422.26,10.353,21.643,5.331,0.736
"Central Long Lake",1995,181,1995-06-30,0,952.28,30.368,94.916,89.952,2.02
"East Long Lake",1995,184,1995-07-03,0,1251.423,69.952,71.855,139.386,1.941
"West Long Lake",1995,185,1995-07-04,0,806.222,16.558,143.84,125.561,1.887
"Peter Lake",1995,186,1995-07-05,0,576.806,19.982,13.667,79.151,0.666
"Paul Lake",1995,187,1995-07-06,0,335.737,10.42,26.361,6.323,2.873
"Central Long Lake",1995,188,1995-07-07,0,938.918,27.468,90.026,99.216,2.963
"Tuesday Lake",1995,188,1995-07-07,0,454.326,10.158,6.719,2.79,0.948
"East Long Lake",1995,191,1995-07-10,0,1031.503,41.847,93.267,156.377,2.774
"West Long Lake",1995,192,1995-07-11,0,672.858,14.22,139.249,128.874,1.76
"Peter Lake",1995,193,1995-07-12,0,582.801,19.157,13.762,62.473,0.83
"Paul Lake",1995,194,1995-07-13,0,379.554,10.444,16.969,5.912,0.46
"Central Long Lake",1995,195,1995-07-14,0,700.279,22.854,28.612,93.599,1.026
"East Long Lake",1995,198,1995-07-17,0,1119.408,25.909,142.829,198.175,4.387
"West Long Lake",1995,199,1995-07-18,0,722.114,16.584,156.417,137.966,0
"Peter Lake",1995,200,1995-07-19,0,590.792,19.617,13.529,42.341,0.938
"Paul Lake",1995,201,1995-07-20,0,306.801,8.151,17.282,6.119,1.48
"Central Long Lake",1995,202,1995-07-21,0,901.954,23.619,59.194,123.661,2.9
